id,path,dataset_id
GSM5833524,/lustre/scratch124/cellgen/cellgeni/aljes/nf-reprocessing-public-10x/results/starsolo/GSE194328/GSM5833524,GSE194328
GSM5833525,/lustre/scratch124/cellgen/cellgeni/aljes/nf-reprocessing-public-10x/results/starsolo/GSE194328/GSM5833525,GSE194328
GSM5833526,/lustre/scratch124/cellgen/cellgeni/aljes/nf-reprocessing-public-10x/results/starsolo/GSE194328/GSM5833526,GSE194328
GSM5833527,/lustre/scratch124/cellgen/cellgeni/aljes/nf-reprocessing-public-10x/results/starsolo/GSE194328/GSM5833527,GSE194328
SRS12252308,/lustre/scratch124/cellgen/cellgeni/aljes/nf-processed2irods/data/PRJNA815461/SRS12252308,PRJNA815461
SRS12252309,/lustre/scratch124/cellgen/cellgeni/aljes/nf-processed2irods/data/PRJNA815461/SRS12252309,PRJNA815461
SRS12252310,/lustre/scratch124/cellgen/cellgeni/aljes/nf-processed2irods/data/PRJNA815461/SRS12252310,PRJNA815461
SRS12252311,/lustre/scratch124/cellgen/cellgeni/aljes/nf-processed2irods/data/PRJNA815461/SRS12252311,PRJNA815461
SRS12252312,/lustre/scratch124/cellgen/cellgeni/aljes/nf-processed2irods/data/PRJNA815461/SRS12252312,PRJNA815461
SRS12252313,/lustre/scratch124/cellgen/cellgeni/aljes/nf-processed2irods/data/PRJNA815461/SRS12252313,PRJNA815461
